Link,Title,Author,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://libraries.rbkc.gov.uk/GroupedWork/d102f51c-f059-c630-281f-3e9394e09a8a-eng,"The Oxford history of board games","Parlett, David","Oxford University Press",1999,Oxford,Reference,"Reference::Kensington Central Library - HOB - Reference Library: 794 PAR - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/fa403330-1dc0-44cb-5f01-765ea638f269-eng,Flamecraft,"Vega, Manny","Cardboard Alchemy",2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/5116cd9b-6576-d793-4c4a-991f959ef0bf-eng,"Just one","Roudy, Ludovic","Repos Production",2018,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/8a314494-095b-93d2-9ebf-ea6f1bc9c83a-eng,"Classic art","Knizia, Reiner",Blatz,1996,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/64d52cda-f016-bcc1-246f-35f42a0edb3d-eng,"Dorfromantik: the board game","Palm, Michael","Pegasus Spiele",2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/cfa7f7c3-25e9-1b0e-7b05-9a543af87d8c-eng,"Stardew Valley: the board game","Medeiros, Cole","Concerned Ape",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/25272a4b-daeb-79c9-af0d-94b358440d17-eng,"The Vale of Eternity","Hong, Eric","Mandoo Games",2023,,"Board Game",
https://libraries.rbkc.gov.uk/GroupedWork/50a45ffe-9de6-ab0e-6afd-7c519c75ebcb-eng,"Heat: pedal to the metal","Granerud, Asger Harding","Days of Wonder",2022,Guyancourt,"Board Game",
https://libraries.rbkc.gov.uk/GroupedWork/661f7d02-ec13-491b-32fd-604c062b07d7-eng,"Terraforming Mars","McMurchie, Tom",Asmodee,2023,Somerset,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/d79f7f65-d854-7028-6180-eda84f046d05-eng,Marabunta,"Knizia, Dr Reiner","Space Cowboys",2023,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/82e4c887-cacc-a2e9-e664-f66609f876dc-eng,"Mansions of Madness:  Second Edition","Valens, Nikki","Fantasy Flight Games",2016,"Alton, Hampshire","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/f85d979c-fe73-9791-c245-66e34ef37371-eng,"Betrayal at Baldur's Gate","Dupuis, Chris","Avalon Hill",2017,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
